N	X			Y
1	0			0
2	0			1.43856
3	1.43856				0
4	1.43856				1.43856
5	0.6581412			0.8028963
6	0.339684753			0.651659844
7	0.9735255			0.4581414
8	0.3021975			1.1214774
9	0.1714284			0.0287712
10	0.7903089			0.661338
11	0.9983007			1.3825161
12	0.967651949			0.625027401
13	0.286553045			1.376151624
14	0.728501234			0.380544243
15	1.2766221			0.9833157
16	0.0138861			1.372626
17	1.15140114			1.261145407
18	1.218291379			0.612824618
19	1.3515471			0.4756239
20	0.494343402			0.574267941
21	0.813186			1.1499489
22	1.382587001			0.760732441
23	0.2997999			0.9686304
24	0.137559703			0.361645392
25	1.0256733			0.3812184
26	1.420112489			0.702875673
27	0.022393534			0.09931019
28	0.632078413			0.069043729
29	0.6752241			1.3389597
30	1.4123862			0.1367631
31	1.241527467			0.552237251
32	0.5332662			1.1837151
33	0.402474051			1.107635288
34	0.474075611			1.178757867
35	0.035661555			0.263263953
36	0.451169561			0.273219997
37	0.529018192			0.904905314
38	1.415248873			0.440505319
39	0.498434697			1.310518662
40	0.07149655			0.515140125
41	0.5811183			0.7071921
42	0.277680683			0.456736883
43	0.0163836			1.2122865
44	1.425768497			1.083437641
45	0.3294702			0.2640357
46	0.2798199			0.5480514
47	0.817928085			0.020238647
48	0.6047946			0.6617376
49	0.71928				1.2200787
50	0.850438484			0.807967359
51	1.206525555			0.246410846
52	0.901748329			0.640370138
53	0.272366352			0.660831541
54	0.9544446			0.545454
55	0.195047371			0.344059783
56	0.5311683			0.3448548
57	0.704914396			1.013981584
58	0.215111338			1.232084298
59	0.5566428			0.6466527
60	0.067171597			0.448715323
61	0.861432816			1.307418085
62	0.655371094			1.074735021
63	1.00324001			0.273470306
64	0.432591504			0.019577664
65	0.695974338			0.682107555
66	1.4137848			0.8654337
67	0.825672669			0.731379013
68	0.7963029			0.3997998
69	0.1856142			0.4291704
70	0.8614377			0.9086904
71	1.137034471			0.564836311
72	0.531601436			0.722597239
73	0.673042972			0.963633952
74	0.4102893			0.4249746
75	0.7068924			0.845154
76	0.978362146			1.275513334
77	0.2561436			0.2269728
78	0.1261737			1.1443545
79	1.1719269			1.392606
80	0.8098893			1.0032957
81	1.2772215			0.2282715
82	0.46884857			0.899227907
83	1.007740395			0.590933692
84	0.0937062			0.9152838
85	1.0856133			1.0696293
86	1.0243746			0.4843152
87	0.9548442			1.1425563
88	1.21417145			1.060288609
89	0.092230415			0.193351249
90	1.123542379			0.627321083
91	0.892201413			1.101260539
92	0.394490236			0.719315684
93	0.819847769			0.873260057
94	1.330668			0.3809187
95	0.37962				1.022976
96	0.315334838			1.305840469
97	0.001596489			0.887479195
98	0.4114881			0.9445545
99	0.2191806			0.4776219
100	0.509643425			1.237204779
101	0.1667331			0.7176816
102	1.1360628			0.7560432
103	0.723690833			0.729039701
104	0.970778904			0.407244378
