N	¦Õ	                        position
1	213.6138327	        0
2	56.84805689         0.02308
3	81.09127711 	0.072715
4	278.9766094 	0.095795
5	264.0401782 	0.15216
6	130.0788192	        0.177985
7	73.44576966 	0.212042
8	360                         0.269714
9	262.4266599	        0.295183629
10	199.0100703	        0.318263629
11	101.1339833 	0.375963629
12	360                  	0.414402313
13	0                      	0.437482313
14	251.9926225 	0.461033785
15	160.2690144 	0.507123064
16	69.31626081 	0.550488924
